,dr,dr_name,dr_date,dr_place,dr_knownfor,dr_awards_wins,dr_awards_nomi tions,dr_link,dr_awards_link
279, Andrew Niccol ,Andrew Niccol,6/10/1964,"Paraparaumu, New Zealand","['Gattaca', 'The Truman Show', 'In Time', 'The Host']",11,13,https://www.imdb.com/name/nm0629272/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0629272/awards?ref_=nm_ql_2
280, Neil Burger,Neil Burger,1963-0-0,NA,"['Divergent', 'The Illusionist', 'Interview with the Assassin', 'Limitless']",4,5,https://www.imdb.com/name/nm1139726/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1139726/awards?ref_=nm_ql_2
281, Matthijs van Heijningen Jr. ,Matthijs van Heijningen Jr.,NA,NA,"['The Thing', 'Red Rain', 'Ciske the Rat', 'Amsterdamned']",0,2,https://www.imdb.com/name/nm0374048/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0374048/awards?ref_=nm_ql_2
282, Pedro Almod??var ,Pedro Almod??var,9/25/1949,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","['Talk to Her', 'Women on the Verge of a Nervous Breakdown', 'La piel que habito', 'Volver']",134,139,https://www.imdb.com/name/nm0000264/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000264/awards?ref_=nm_ql_2
283, Ivan Reitman ,Ivan Reitman,10/27/1946,"Kom??rno, Czechoslovakia [now Slovak Republic]","['Up in the Air', 'Ghostbusters', 'Heavy Metal', 'Six Days Seven Nights']",7,12,https://www.imdb.com/name/nm0718645/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0718645/awards?ref_=nm_ql_2
284, Tarsem Singh ,Tarsem Singh,5/26/1961,India,"['The Fall', 'The Cell', 'Mirror Mirror', 'Self/less']",6,5,https://www.imdb.com/name/nm0802248/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0802248/awards?ref_=nm_ql_2
285, Jonathan Liebesman ,Jonathan Liebesman,9/15/1976,"Johannesburg, South Africa","['Teenage Mutant Ninja Turtles', 'Battle Los Angeles', 'Genesis and Catastrophe', 'Darkness Falls']",2,3,https://www.imdb.com/name/nm0509448/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0509448/awards?ref_=nm_ql_2
286, Bill Condon ,Bill Condon,10/22/1955,"New York City, New York, USA","['Kinsey', 'Dreamgirls', 'Gods and Monsters', 'Chicago']",19,43,https://www.imdb.com/name/nm0174374/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0174374/awards?ref_=nm_ql_2
287, Seth Gordon,Seth Gordon,NA,NA,"['Pixels', 'The King of Kong: A Fistful of Quarters', 'Freakonomics', 'Identity Thief']",3,1,https://www.imdb.com/name/nm1164861/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1164861/awards?ref_=nm_ql_2
288, Sean McNamara,Sean McNamara,5/9/1962,"Burbank, California, USA","['Hoovey', 'Even Stevens', 'Spare Parts', 'Soul Surfer']",12,12,https://www.imdb.com/name/nm0573732/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0573732/awards?ref_=nm_ql_2
289, David Dobkin ,David Dobkin,6/23/1969,"Washington, District of Columbia, USA","['The Judge', 'R.I.P.D.', 'King Arthur: Legend of the Sword', 'Fred Claus']",1,1,https://www.imdb.com/name/nm0229694/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0229694/awards?ref_=nm_ql_2
290, Lynne Ramsay ,Lynne Ramsay,12/5/1969,"Glasgow, Strathclyde, Scotland, UK","['You Were Never Really Here', 'We Need to Talk About Kevin', 'Morvern Callar', 'Ratcatcher']",39,53,https://www.imdb.com/name/nm0708903/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0708903/awards?ref_=nm_ql_2
291, Jake Kasdan ,Jake Kasdan,10/28/1974,"Detroit, Michigan, USA","['Walk Hard: The Dewey Cox Story', 'Zero Effect', 'The TV Set', 'Sex Tape']",1,6,https://www.imdb.com/name/nm0440458/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0440458/awards?ref_=nm_ql_2
292, Cary Joji Fukunaga ,Cary Joji Fukunaga,7/10/1977,"Oakland, California, USA","['Beasts of No Nation', 'Sin Nombre', 'It', 'Maniac']",25,30,https://www.imdb.com/name/nm1560977/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1560977/awards?ref_=nm_ql_2
293, Craig Brewer ,Craig Brewer,12/6/1971,"Virginia, USA","['Hustle & Flow', 'The Poor & Hungry', 'The Legend of Tarzan', 'Black Snake Moan']",7,4,https://www.imdb.com/name/nm0108132/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0108132/awards?ref_=nm_ql_2
294, Gareth Evans ,Gareth Evans,NA,NA,"['The Raid: Redemption', 'The Raid 2', 'Apostle', 'V/H/S/2']",9,10,https://www.imdb.com/name/nm2153088/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2153088/awards?ref_=nm_ql_2
295, Adam Wingard ,Adam Wingard,12/3/1982,"Oak Ridge, Tennessee, USA","[""You're Next"", 'V/H/S', 'The Guest', 'Blair Witch']",6,16,https://www.imdb.com/name/nm1417392/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1417392/awards?ref_=nm_ql_2
296, Terrence Malick ,Terrence Malick,11/30/1943,"Ottawa, Illinois, USA","['Days of Heaven', 'The Tree of Life', 'The Thin Red Line', 'Badlands']",40,55,https://www.imdb.com/name/nm0000517/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000517/awards?ref_=nm_ql_2
297, Jesse Peretz,Jesse Peretz,1968-0-0,NA,"['Our Idiot Brother', 'The Ch??teau', 'Girls']",2,7,https://www.imdb.com/name/nm0673400/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0673400/awards?ref_=nm_ql_2
298, Asghar Farhadi ,Asghar Farhadi,5/7/1972,"Khomeyni Shahr, Isfahan, Iran","['Darbareye Elly', 'Forushande', 'A Separation', 'Le pass??']",86,75,https://www.imdb.com/name/nm1410815/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1410815/awards?ref_=nm_ql_2
299, Bobby Farrelly ,Bobby Farrelly,6/17/1958,"Cumberland, Rhode Island, USA","[""There's Something About Mary"", 'Osmosis Jones', 'Dumb and Dumber To', 'Me, Myself & Irene']",3,4,https://www.imdb.com/name/nm0268370/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0268370/awards?ref_=nm_ql_2
300, Alexander Payne,Alexander Payne,2/10/1961,"Omaha, Nebraska, USA","['Nebraska', 'The Descendants', 'Election', 'Sideways']",83,124,https://www.imdb.com/name/nm0668247/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0668247/awards?ref_=nm_ql_2
301, Michel Gondry ,Michel Gondry,5/8/1963,"Versailles, Seine-et-Oise [now Yvelines], France","['Eternal Sunshine of the Spotless Mind', 'The Science of Sleep', 'The We and the I', 'Be Kind Rewind']",29,46,https://www.imdb.com/name/nm0327273/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0327273/awards?ref_=nm_ql_2
302, John Singleton,John Singleton,1/6/1968,"Los Angeles, California, USA","['Boyz n the Hood', 'Four Brothers', 'Shaft', 'Baby Boy']",13,25,https://www.imdb.com/name/nm0005436/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005436/awards?ref_=nm_ql_2
303,Wes Craven,Wes Craven,8/2/1939,"Cleveland, Ohio, USA","['A Nightmare on Elm Street', 'Scream', 'New Nightmare', 'The People Under the Stairs']",10,6,https://www.imdb.com/name/nm0000127/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000127/awards?ref_=nm_ql_2
304, Tom Hanks ,Tom Hanks,7/9/1956,"Concord, California, USA","['Cast Away', 'Saving Private Ryan', 'Forrest Gump', 'Big']",84,151,https://www.imdb.com/name/nm0000158/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000158/awards?ref_=nm_ql_2
305, Gore Verbinski ,Gore Verbinski,3/16/1964,"Oak Ridge, Tennessee, USA","['Rango', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'A Cure for Wellness', 'The Lone Ranger']",9,12,https://www.imdb.com/name/nm0893659/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0893659/awards?ref_=nm_ql_2
306, Rupert Wyatt ,Rupert Wyatt,10/26/1972,"England, UK","['Rise of the Planet of the Apes', 'Captive State', 'The Escapist', 'The Gambler']",2,7,https://www.imdb.com/name/nm1012501/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1012501/awards?ref_=nm_ql_2
307, Zal Batmanglij ,Zal Batmanglij,NA,NA,"['The OA', 'The East', 'Sound of My Voice']",2,5,https://www.imdb.com/name/nm2610231/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2610231/awards?ref_=nm_ql_2
308, Gonzalo L??pez-Gallego ,Gonzalo L??pez-Gallego,NA,NA,"['El rey de la monta??a', 'N??madas', 'Apollo 18', 'Open Grave']",3,6,https://www.imdb.com/name/nm1018426/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1018426/awards?ref_=nm_ql_2
309, Gary McKendry ,Gary McKendry,NA,NA,"['Everything in This Country Must', 'Killer Elite', 'Joseph and the Girl']",5,1,https://www.imdb.com/name/nm1834213/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1834213/awards?ref_=nm_ql_2
310, Simon West,Simon West,1961-0-0,NA,"['Lara Croft: Tomb Raider', ""The General's Daughter"", 'Wild Card', 'Stolen']",2,0,https://www.imdb.com/name/nm0922346/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0922346/awards?ref_=nm_ql_2
311, Carlos Saldanha ,Carlos Saldanha,1/24/1965,"Rio de Janeiro, Rio de Janeiro, Brazil","['Rio', 'Rio 2', 'Ice Age', 'Ice Age: The Meltdown']",2,15,https://www.imdb.com/name/nm0757858/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0757858/awards?ref_=nm_ql_2
312, Brad Furman ,Brad Furman,NA,NA,"['The Infiltrator', 'The Lincoln Lawyer', 'Runner Runner', 'The Mexican']", , ,https://www.imdb.com/name/nm1026778/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1026778/awards?ref_=nm_ql_2
313, George Nolfi ,George Nolfi,NA,NA,"['The Adjustment Bureau', 'The Bourne Ultimatum', 'Spectral', 'The Sentinel']",0,3,https://www.imdb.com/name/nm1079776/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1079776/awards?ref_=nm_ql_2
314, George Clooney ,George Clooney,5/6/1961,"Lexington, Kentucky, USA","['Michael Clayton', 'Up in the Air', 'The Ides of March', 'The Monuments Men']",90,199,https://www.imdb.com/name/nm0000123/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000123/awards?ref_=nm_ql_2
315, Tim Hill,Tim Hill,NA,NA,"['SpongeBob SquarePants', 'The SpongeBob SquarePants Movie', 'Hop', 'Alvin and the Chipmunks']",1,1,https://www.imdb.com/name/nm0384722/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0384722/awards?ref_=nm_ql_2
316, Robert Rodriguez,Robert Rodriguez,6/20/1968,"San Antonio, Texas, USA","['El Mariachi', 'Spy Kids 2: Island of Lost Dreams', 'Sin City: A Dame to Kill For', 'Planet Terror']",38,30,https://www.imdb.com/name/nm0001675/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001675/awards?ref_=nm_ql_2
317, John Lasseter ,John Lasseter,1/12/1957,"Hollywood, Los Angeles, California, USA","['Toy Story 2', ""A Bug's Life"", 'Cars', 'Toy Story']",37,32,https://www.imdb.com/name/nm0005124/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005124/awards?ref_=nm_ql_2
318, Jason Winer ,Jason Winer,NA,NA,"['Arthur', 'Modern Family', 'Van Wilder', 'The Adventures of Big Handsome Guy and His Little Friend']",6,6,https://www.imdb.com/name/nm0934864/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0934864/awards?ref_=nm_ql_2
319, J.C. Chandor ,J.C. Chandor,NA,NA,"['A Most Violent Year', 'Margin Call', 'All Is Lost', 'Triple Frontier']",10,19,https://www.imdb.com/name/nm1170855/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1170855/awards?ref_=nm_ql_2
320, David Mackenzie ,David Mackenzie,5/10/1966,"Scotland, UK","['Perfect Sense', 'Hell or High Water', 'Starred Up', 'Hallam Foe']",23,41,https://www.imdb.com/name/nm0533284/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0533284/awards?ref_=nm_ql_2
321, Steven Quale ,Steven Quale,NA,NA,"['Final Destination 5', 'The Abyss', 'Into the Storm', 'Avatar']",0,2,https://www.imdb.com/name/nm0702797/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0702797/awards?ref_=nm_ql_2
322, Daniel Barnz ,Daniel Barnz,NA,NA,"['Cake', 'Phoebe in Wonderland', 'Beastly', 'Untitled Ryan Wash Project']",2,2,https://www.imdb.com/name/nm1400426/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1400426/awards?ref_=nm_ql_2
323, Jonathan Levine,Jonathan Levine,NA,NA,"['The Wackness', '50/50', 'Snatched', 'Warm Bodies']",9,6,https://www.imdb.com/name/nm1349522/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1349522/awards?ref_=nm_ql_2
324, Jennifer Yuh Nelson ,Jennifer Yuh Nelson,5/7/1972,South Korea,"['Kung Fu Panda 2', 'Kung Fu Panda', ""Todd McFarlane's Spawn"", 'Dark City']",4,7,https://www.imdb.com/name/nm0950775/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0950775/awards?ref_=nm_ql_2
325, Christian E. Christiansen ,Christian E. Christiansen,12/14/1972,"Kalundborg, Denmark","['The Roommate', 'R??zone', 'Lev st??rkt', 'Dig og mig']",0,10,https://www.imdb.com/name/nm0160157/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0160157/awards?ref_=nm_ql_2
326, David Cronenberg ,David Cronenberg,3/15/1943,"Toronto, Ontario, Canada","['The Fly', 'Dead Ringers', 'eXistenZ', 'Crash']",69,67,https://www.imdb.com/name/nm0000343/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000343/awards?ref_=nm_ql_2
327, Andr??s Baiz ,Andr??s Baiz,NA,NA,"['The Hidden Face', 'Satan??s', 'Hoguera', 'Roa']",2,7,https://www.imdb.com/name/nm1223381/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1223381/awards?ref_=nm_ql_2
328, Ralph Fiennes ,Ralph Fiennes,12/22/1962,"Ipswich, Suffolk, England, UK","['The Grand Budapest Hotel', 'The Constant Gardener', ""Schindler's List"", 'Harry Potter and the Deathly Hallows: Part 2']",38,103,https://www.imdb.com/name/nm0000146/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000146/awards?ref_=nm_ql_2
329, Mark Mylod ,Mark Mylod,NA,NA,"['Game of Thrones', 'The Affair', 'Shameless', 'Entourage']",2,8,https://www.imdb.com/name/nm0617042/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0617042/awards?ref_=nm_ql_2
330, Joss Whedon ,Joss Whedon,6/23/1964,"New York City, New York, USA","['Buffy the Vampire Slayer', 'The Avengers', 'The Cabin in the Woods', 'Angel']",25,44,https://www.imdb.com/name/nm0923736/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0923736/awards?ref_=nm_ql_2
331, Gary Ross ,Gary Ross,11/3/1956,"Los Angeles, California, USA","['The Hunger Games', 'Pleasantville', 'Seabiscuit', 'Big']",8,23,https://www.imdb.com/name/nm0002657/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002657/awards?ref_=nm_ql_2
332, Paul Thomas Anderson ,Paul Thomas Anderson,6/26/1970,"Studio City, California, USA","['Punch-Drunk Love', 'Boogie Nights', 'There Will Be Blood', 'Inherent Vice']",76,191,https://www.imdb.com/name/nm0000759/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000759/awards?ref_=nm_ql_2
333, Jason Moore,Jason Moore,10/22/1970,"Fayetteville, Arkansas, USA","['Pitch Perfect 2', 'Pitch Perfect', 'Sisters', 'Pitch Perfect 3']",0,1,https://www.imdb.com/name/nm0601337/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0601337/awards?ref_=nm_ql_2
334, Rupert Sanders ,Rupert Sanders,3/16/1971,"Westminster, London, England, UK","['Snow White and the Huntsman', 'Ghost in the Shell', 'Untitled Rupert Sanders/Sci-Fi Project', 'Untitled DEA Project']",1,2,https://www.imdb.com/name/nm2782185/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2782185/awards?ref_=nm_ql_2
335, Tom Tykwer ,Tom Tykwer,5/23/1965,"Wuppertal, North Rhine-Westphalia, Germany","['Run Lola Run', 'Cloud Atlas', 'Perfume: The Story of a Murderer', 'Babylon Berlin']",37,56,https://www.imdb.com/name/nm0878756/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0878756/awards?ref_=nm_ql_2
336, Rich Moore,Rich Moore,5/10/1963,"Oxnard, California, USA","['Wreck-It Ralph', 'Zootopia', 'Ralph Breaks the Internet', 'Futurama']",20,20,https://www.imdb.com/name/nm0601781/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0601781/awards?ref_=nm_ql_2
337, Mark Andrews,Mark Andrews,9/12/1968,"Los Angeles County, California, USA","['Brave', 'John Carter', 'The Iron Giant', 'Spider-Man']",5,10,https://www.imdb.com/name/nm0028764/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0028764/awards?ref_=nm_ql_2
338, Stephen Chbosky ,Stephen Chbosky,1/25/1970,"Pittsburgh, Pennsylvania, USA","['The Perks of Being a Wallflower', 'Beauty and the Beast', 'Wonder']",8,20,https://www.imdb.com/name/nm0154716/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0154716/awards?ref_=nm_ql_2
339, J.A. Bayona ,J.A. Bayona,5/9/1975,"Barcelona, Catalonia, Spain","['The Orphanage', 'The Impossible', 'A Monster Calls', 'Jurassic World: Fallen Kingdom']",29,25,https://www.imdb.com/name/nm1291105/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1291105/awards?ref_=nm_ql_2
340, Rian Johnson ,Rian Johnson,12/17/1973,"Silver Spring, Maryland, USA","['Looper', 'Brick', 'Star Wars: Episode VIII - The Last Jedi', 'The Brothers Bloom']",22,36,https://www.imdb.com/name/nm0426059/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0426059/awards?ref_=nm_ql_2
341, Judd Apatow ,Judd Apatow,12/6/1967,"Syosset, New York, USA","['Girls', 'Knocked Up', 'The 40 Year Old Virgin', 'This Is 40']",16,34,https://www.imdb.com/name/nm0031976/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0031976/awards?ref_=nm_ql_2
342, Christopher McQuarrie ,Christopher McQuarrie,1968-0-0,NA,"['The Usual Suspects', 'Edge of Tomorrow', 'The Mummy', 'Mission: Impossible - Fallout']",9,4,https://www.imdb.com/name/nm0003160/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003160/awards?ref_=nm_ql_2
343, Michael Sucsy,Michael Sucsy,2/14/1973,USA,NA,4,5,https://www.imdb.com/name/nm1302591/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1302591/awards?ref_=nm_ql_2
344, Thomas Vinterberg ,Thomas Vinterberg,5/19/1969,"Copenhagen, Denmark","['The Hunt', 'The Celebration', 'Submarino', 'Far from the Madding Crowd']",49,47,https://www.imdb.com/name/nm0899121/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0899121/awards?ref_=nm_ql_2
345, Pete Travis ,Pete Travis,NA,NA,"['Vantage Point', 'Dredd', 'The Gunman', 'Omagh']",3,7,https://www.imdb.com/name/nm0871428/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0871428/awards?ref_=nm_ql_2
346, Len Wiseman,Len Wiseman,3/4/1973,"Fremont, California, USA","['Underworld', 'Total Recall', 'Underworld: Evolution', 'Underworld: Rise of the Lycans']",0,1,https://www.imdb.com/name/nm0936482/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0936482/awards?ref_=nm_ql_2
347, Jon Hurwitz,Jon Hurwitz,11/15/1977,NA,"['Harold & Kumar Go to White Castle', 'American Reunion', 'Harold & Kumar Escape from Guantanamo Bay', 'A Very Harold & Kumar 3D Christmas']", , ,https://www.imdb.com/name/nm1375358/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1375358/awards?ref_=nm_ql_2
348, Barry Sonnenfeld ,Barry Sonnenfeld,4/1/1953,"New York City, New York, USA","['Men in Black', 'Wild Wild West', 'Men in Black 3', 'Addams Family Values']",7,11,https://www.imdb.com/name/nm0001756/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001756/awards?ref_=nm_ql_2
349, Seth MacFarlane ,Seth MacFarlane,10/26/1973,"Kent, Connecticut, USA","['Family Guy', 'American Dad!', 'Ted', 'A Million Ways to Die in the West']",22,57,https://www.imdb.com/name/nm0532235/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0532235/awards?ref_=nm_ql_2
350, Oriol Paulo ,Oriol Paulo,1975-0-0,NA,"['The Body', 'The Invisible Guest', 'Los ojos de Julia', 'Nit i dia']",3,8,https://www.imdb.com/name/nm1079062/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1079062/awards?ref_=nm_ql_2
351, Peter Ramsey,Peter Ramsey,NA,NA,"['Spider-Man: Into the Spider-Verse', 'Rise of the Guardians', 'Minority Report', 'The Core']",10,9,https://www.imdb.com/name/nm0709056/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0709056/awards?ref_=nm_ql_2
352, Nima Nourizadeh ,Nima Nourizadeh,11/12/1977,London,"['American Ultra', 'Project X', 'Cali', 'The Tracking of a Russian Spy']", , ,https://www.imdb.com/name/nm1294036/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1294036/awards?ref_=nm_ql_2
353, Brad Peyton ,Brad Peyton,5/27/1978,"Gander, Newfoundland and Labrador, Canada","['Rampage', 'San Andreas', 'Frontier', 'Black Hole']",0,3,https://www.imdb.com/name/nm0679031/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0679031/awards?ref_=nm_ql_2
354, Ang Lee ,Ang Lee,10/23/1954,"Pingtung, Taiwan","['Crouching Tiger, Hidden Dragon', 'Lust, Caution', 'Life of Pi', 'Brokeback Mountain']",103,95,https://www.imdb.com/name/nm0000487/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000487/awards?ref_=nm_ql_2
355, Larry Charles,Larry Charles,12/1/1956,"Brooklyn, New York City, New York, USA","['Seinfeld', 'Br??no', 'The Dictator', 'Curb Your Enthusiasm']",4,21,https://www.imdb.com/name/nm0153078/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0153078/awards?ref_=nm_ql_2
356, Genndy Tartakovsky ,Genndy Tartakovsky,1/17/1970,"Moscow, RSFSR, USSR [now Russia]","['Samurai Jack', ""Dexter's Laboratory"", 'Hotel Transylvania 3: Summer Vacation', 'Sym-Bionic Titan']",6,16,https://www.imdb.com/name/nm0850733/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0850733/awards?ref_=nm_ql_2
357, Robert Zemeckis ,Robert Zemeckis,5/14/1951,"Chicago, Illinois, USA","['Back to the Future', 'Forrest Gump', 'Contact', 'Cast Away']",34,36,https://www.imdb.com/name/nm0000709/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000709/awards?ref_=nm_ql_2
358, Daniel Espinosa ,Daniel Espinosa,3/23/1977,"Huddinge, Stockholms l??n, Sweden","['Snabba cash', 'Safe House', 'Life', 'Uden for k??rligheden']",3,3,https://www.imdb.com/name/nm1174251/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1174251/awards?ref_=nm_ql_2
359, Franck Khalfoun ,Franck Khalfoun,NA,NA,"['Maniac', 'P2', 'Piranha 3D', 'Amityville: The Awakening']",1,2,https://www.imdb.com/name/nm0451076/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0451076/awards?ref_=nm_ql_2
360, Jeff Nichols,Jeff Nichols,12/7/1978,"Little Rock, Arkansas, USA","['Take Shelter', 'Midnight Special', 'Loving', 'Mud']",23,34,https://www.imdb.com/name/nm2158772/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2158772/awards?ref_=nm_ql_2
361, M??ns M??rlind ,M??ns M??rlind,7/29/1969,"Vallentuna, Stockholms l??n, Sweden","['Midnight Sun', 'Storm', '6 Souls', 'Underworld Awakening']",6,5,https://www.imdb.com/name/nm0617523/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0617523/awards?ref_=nm_ql_2
362, Tony Gilroy,Tony Gilroy,9/11/1956,"Manhattan, New York City, New York, USA","['Michael Clayton', 'Rogue One', 'Nightcrawler', 'Duplicity']",3,40,https://www.imdb.com/name/nm0006904/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0006904/awards?ref_=nm_ql_2
363, Leslye Headland ,Leslye Headland,11/26/1980,"Los Angeles, California, USA","['Bachelorette', 'Sleeping with Other People', 'Russian Doll', 'About Last Night']",0,2,https://www.imdb.com/name/nm2853516/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2853516/awards?ref_=nm_ql_2
364, Kirk Jones,Kirk Jones,10/31/1964,"Bristol, England, UK","['Waking Ned Devine', ""Everybody's Fine"", ""What to Expect When You're Expecting"", 'Nanny McPhee']",6,2,https://www.imdb.com/name/nm0428600/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0428600/awards?ref_=nm_ql_2
365, Scott Hicks,Scott Hicks,3/4/1953,Uganda,"['Shine', 'Snow Falling on Cedars', 'Sebastian and the Sparrow', 'Submarines: Sharks of Steel']",12,13,https://www.imdb.com/name/nm0382956/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0382956/awards?ref_=nm_ql_2
366, Josh Trank ,Josh Trank,2/19/1984,"Los Angeles, California, USA","['Fantastic Four', 'Chronicle', 'The Kill Point', 'Fonzo']",1,2,https://www.imdb.com/name/nm2503633/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2503633/awards?ref_=nm_ql_2
367, Neil Jordan,Neil Jordan,2/25/1950,"Sligo, Ireland","['The Crying Game', 'Breakfast on Pluto', 'Michael Collins', 'The Borgias']",41,52,https://www.imdb.com/name/nm0001403/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001403/awards?ref_=nm_ql_2
368, David Ayer ,David Ayer,1/18/1968,"Champaign, Illinois, USA","['End of Watch', 'Sabotage', 'Suicide Squad', 'Harsh Times']",0,5,https://www.imdb.com/name/nm0043742/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0043742/awards?ref_=nm_ql_2
369, Juan Solanas ,Juan Solanas,11/4/1966,"Buenos Aires, Argentina","[""L'homme sans t??te"", 'Nordeste', 'Upside Down', 'Photomateurs (aka Photograbber)']",10,5,https://www.imdb.com/name/nm0812626/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0812626/awards?ref_=nm_ql_2
370, Ariel Vromen ,Ariel Vromen,2/14/1973,Israel,"['The Iceman', 'The Angel', 'Criminal', 'The Last Shaman']",2,0,https://www.imdb.com/name/nm1033517/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1033517/awards?ref_=nm_ql_2
371, Lisa Azuelos ,Lisa Azuelos,11/6/1965,"Neuilly-sur-Seine, Hauts-de-Seine, France","['LOL (Laughing Out Loud) ??', 'Une rencontre', 'LOL', 'Dalida']",2,1,https://www.imdb.com/name/nm0018132/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0018132/awards?ref_=nm_ql_2
