,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
38,Stuart Graham,1967-0-0,NA,"['Hunger', 'Tinker Tailor Soldier Spy', 'The Good Word', 'The Whistleblower']",1,1,https://www.imdb.com/name/nm0334324/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0334324/awards?ref_=nm_ql_2
39,Emile Hirsch,3/13/85,"Palms, California, USA","['Into the Wild', 'The Girl Next Door', 'Speed Racer', 'Milk']",6,25,https://www.imdb.com/name/nm0386472/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0386472/awards?ref_=nm_ql_2
40,Vinnie Jones,1/5/65,"Watford, Hertfordshire, England, UK","['Snatch', 'Lock, Stock and Two Smoking Barrels', 'The Midnight Meat Train', 'X-Men: The Last Stand']",3,2,https://www.imdb.com/name/nm0005068/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005068/awards?ref_=nm_ql_2
41,Jennifer Carpenter,12/7/79,"Louisville, Kentucky, USA","['Dexter', 'The Exorcism of Emily Rose', 'Quarantine', 'White Chicks']",5,23,https://www.imdb.com/name/nm1358539/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1358539/awards?ref_=nm_ql_2
42,Patrick Dempsey,1/13/66,"Lewiston, Maine, USA","[""Grey's Anatomy"", ""Can't Buy Me Love"", 'Enchanted', 'Transformers: Dark of the Moon']",8,21,https://www.imdb.com/name/nm0001131/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001131/awards?ref_=nm_ql_2
43,Nicole Kidman,6/20/67,"Honolulu, Hawaii, USA","['Moulin Rouge!', 'The Hours', 'Cold Mountain', 'The Others']",96,198,https://www.imdb.com/name/nm0000173/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000173/awards?ref_=nm_ql_2
44,Michael Cera,6/7/88,"Brampton, Ontario, Canada","['Superbad', 'Juno', 'Scott Pilgrim vs. the World', ""Nick and Norah's Infinite Playlist""]",7,26,https://www.imdb.com/name/nm0148418/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0148418/awards?ref_=nm_ql_2
45,Owen Wilson,11/18/68,"Dallas, Texas, USA","['The Royal Tenenbaums', 'Wedding Crashers', 'Bottle Rocket', 'Midnight in Paris']",14,50,https://www.imdb.com/name/nm0005562/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005562/awards?ref_=nm_ql_2
46,Robert De Niro,8/17/43,"New York City, New York, USA","['Raging Bull', 'Cape Fear', 'Taxi Driver', 'Mean Streets']",56,98,https://www.imdb.com/name/nm0000134/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000134/awards?ref_=nm_ql_2
47,Shia LaBeouf,6/11/86,"Los Angeles, California, USA","['Transformers', 'American Honey', 'Fury', 'Lawless']",14,43,https://www.imdb.com/name/nm0479471/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0479471/awards?ref_=nm_ql_2
48,Emma Roberts,2/10/91,"Rhinebeck, New York, USA","[""We're the Millers"", 'Aquamarine', 'The Art of Getting By', 'Nerve']",6,26,https://www.imdb.com/name/nm0731075/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0731075/awards?ref_=nm_ql_2
49,Jürgen Vogel,4/29/68,"Hamburg, West Germany","['The Wave', 'Der freie Wille', 'Kleine Haie', 'Das Leben ist eine Baustelle.']",13,8,https://www.imdb.com/name/nm0900915/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0900915/awards?ref_=nm_ql_2
50,Saoirse Ronan,4/12/94,"The Bronx, New York City, New York, USA","['Hanna', 'Brooklyn', 'Atonement', 'The Lovely Bones']",63,140,https://www.imdb.com/name/nm1519680/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1519680/awards?ref_=nm_ql_2
51,Georgia Groome,2/11/92,"Nottingham, England, UK","['Angus, Thongs and Perfect Snogging', 'The Holding', 'Inspector Lewis', 'The Cottage']",1,1,https://www.imdb.com/name/nm2102872/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2102872/awards?ref_=nm_ql_2
