	dr_link	st1_link	st2_link
32	/name/nm1519353/?ref_=adv_li_dr_0	/name/nm0489504/?ref_=adv_li_st_0	/name/nm2280521/?ref_=adv_li_st_1
33	/name/nm0783139/?ref_=adv_li_dr_0	/name/nm0266824/?ref_=adv_li_st_0	/name/nm0000159/?ref_=adv_li_st_1
34	/name/nm0233757/?ref_=adv_li_dr_0	/name/nm0001467/?ref_=adv_li_st_0	/name/nm0001631/?ref_=adv_li_st_1
35	/name/nm0002728/?ref_=adv_li_dr_0	/name/nm0201857/?ref_=adv_li_st_0	/name/nm0897845/?ref_=adv_li_st_1
36	/name/nm0814085/?ref_=adv_li_dr_0	/name/nm0000598/?ref_=adv_li_st_0	/name/nm1475594/?ref_=adv_li_st_1
37	/name/nm0386246/?ref_=adv_li_dr_0	/name/nm0451148/?ref_=adv_li_st_0	/name/nm0534856/?ref_=adv_li_st_1
38	/name/nm0476201/?ref_=adv_li_dr_0	/name/nm1083271/?ref_=adv_li_st_0	/name/nm1086543/?ref_=adv_li_st_1
39	/name/nm0510912/?ref_=adv_li_dr_0	/name/nm0004874/?ref_=adv_li_st_0	/name/nm0908094/?ref_=adv_li_st_1
40	/name/nm0525659/?ref_=adv_li_dr_0	/name/nm0001337/?ref_=adv_li_st_0	/name/nm0124930/?ref_=adv_li_st_1
41	/name/nm0487166/?ref_=adv_li_dr_0	/name/nm1176651/?ref_=adv_li_st_0	/name/nm0885091/?ref_=adv_li_st_1
42	/name/nm0000165/?ref_=adv_li_dr_0	/name/nm0000158/?ref_=adv_li_st_0	/name/nm0000191/?ref_=adv_li_st_1
43	/name/nm0166256/?ref_=adv_li_dr_0	/name/nm0741242/?ref_=adv_li_st_0	/name/nm0202966/?ref_=adv_li_st_1
44	/name/nm0200005/?ref_=adv_li_dr_0	/name/nm2829737/?ref_=adv_li_st_0	/name/nm0594898/?ref_=adv_li_st_1
45	/name/nm0919363/?ref_=adv_li_dr_0	/name/nm0829576/?ref_=adv_li_st_0	/name/nm1500155/?ref_=adv_li_st_1
46	/name/nm0384825/?ref_=adv_li_dr_0	/name/nm0001557/?ref_=adv_li_st_0	/name/nm0000234/?ref_=adv_li_st_1
47	/name/nm0947087/?ref_=adv_li_dr_0	/name/nm0004715/?ref_=adv_li_st_0	/name/nm0004851/?ref_=adv_li_st_1
48	/name/nm0006487/?ref_=adv_li_dr_0	/name/nm0350453/?ref_=adv_li_st_0	/name/nm0000204/?ref_=adv_li_st_1
49	/name/nm0649117/?ref_=adv_li_dr_0	/name/nm0638824/?ref_=adv_li_st_0	/name/nm0636426/?ref_=adv_li_st_1
50	/name/nm0520488/?ref_=adv_li_dr_0	/name/nm0267506/?ref_=adv_li_st_0	/name/nm0352778/?ref_=adv_li_st_1
