	st_name	st_date	st_place	st_knownfor	st_awards_wins	st_awards_nominations	st_link	st_awards_link
1797	" Matt Damon
"	1970-10-8	Boston, Massachusetts, USA	['Good Will Hunting', 'The Martian', 'The Departed', 'The Talented Mr. Ripley']	36	142	https://www.imdb.com/name/nm0000354/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000354/awards?ref_=nm_ql_2
1798	" Molly Hagan
"	1961-8-3	Minneapolis, Minnesota, USA	"['Sully', 'iZombie', 'Election', ""Herman's Head""]"	NA	NA	https://www.imdb.com/name/nm0353243/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0353243/awards?ref_=nm_ql_2
1799	" Joel Edgerton
"	1974-6-23	Blacktown, New South Wales, Australia	['The Gift', 'The Great Gatsby', 'Loving', 'Black Mass']	16	56	https://www.imdb.com/name/nm0249291/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0249291/awards?ref_=nm_ql_2
1800	" Karl Glusman
"	1988-0-0	NA	['Love', 'The Neon Demon', 'Nocturnal Animals', 'Devs']	NA	NA	https://www.imdb.com/name/nm3194762/?ref_=adv_li_st_1	https://www.imdb.com/name/nm3194762/awards?ref_=nm_ql_2
1801	" Chris Evans
(V)
"	1981-6-13	Boston, Massachusetts, USA	['The Avengers', 'Captain America: The First Avenger', 'Captain America: Civil War', 'Captain America: The Winter Soldier']	6	37	https://www.imdb.com/name/nm0262635/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0262635/awards?ref_=nm_ql_2
1802	" Jacob Tremblay
(I)
"	2006-10-5	Vancouver, British Columbia, Canada	['Room', 'Wonder', 'Before I Wake', 'The Predator']	21	35	https://www.imdb.com/name/nm5016878/?ref_=adv_li_st_1	https://www.imdb.com/name/nm5016878/awards?ref_=nm_ql_2
1803	" Charlize Theron
"	1975-8-7	Benoni, Transvaal, South Africa	['Monster', 'Mad Max: Fury Road', 'Snow White and the Huntsman', 'Atomic Blonde']	60	109	https://www.imdb.com/name/nm0000234/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000234/awards?ref_=nm_ql_2
1804	" Kurt Russell
(I)
"	1951-3-17	Springfield, Massachusetts, USA	['The Hateful Eight', 'Escape from L.A.', 'Executive Decision', 'Tango & Cash']	6	13	https://www.imdb.com/name/nm0000621/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000621/awards?ref_=nm_ql_2
1805	" Michael Douglas
(I)
"	1944-9-25	New Brunswick, New Jersey, USA	['Wall Street', 'Behind the Candelabra', 'Basic Instinct', 'Fatal Attraction']	51	43	https://www.imdb.com/name/nm0000140/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000140/awards?ref_=nm_ql_2
1806	" Jamie Dornan
"	1982-5-1	Belfast, Northern Ireland, UK	['Fifty Shades of Grey', 'The Fall', 'Anthropoid', 'Marie Antoinette']	7	7	https://www.imdb.com/name/nm1946193/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1946193/awards?ref_=nm_ql_2
1807	" Jason Clarke
(I)
"	1969-7-17	Winton, Queensland, Australia	['Zero Dark Thirty', 'Mudbound', 'Everest', 'Terminator Genisys']	3	8	https://www.imdb.com/name/nm0164809/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0164809/awards?ref_=nm_ql_2
1808	" Tom Hardy
(I)
"	1977-9-15	Hammersmith, London, England, UK	['Inception', 'The Dark Knight Rises', 'Locke', 'Mad Max: Fury Road']	17	78	https://www.imdb.com/name/nm0362766/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0362766/awards?ref_=nm_ql_2
1809	" Josh Brolin
"	1968-2-12	Santa Monica, California, USA	['No Country for Old Men', 'Avengers: Infinity War', 'Inherent Vice', 'Milk']	16	52	https://www.imdb.com/name/nm0000982/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000982/awards?ref_=nm_ql_2
1810	" Steve Carell
"	1962-8-16	Concord, Massachusetts, USA	['The Office', 'The 40 Year Old Virgin', 'Foxcatcher', 'Little Miss Sunshine']	33	130	https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0136797/awards?ref_=nm_ql_2
1811	" Bryce Dallas Howard
"	1981-3-2	Los Angeles, California, USA	['Jurassic World', 'The Help', 'Gold']	19	26	https://www.imdb.com/name/nm0397171/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0397171/awards?ref_=nm_ql_2
1812	" Emily Browning
(I)
"	1988-12-7	Melbourne, Victoria, Australia	['A Series of Unfortunate Events', 'Sucker Punch', 'Sleeping Beauty', 'Pompeii']	5	9	https://www.imdb.com/name/nm0115161/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0115161/awards?ref_=nm_ql_2
1813	" Cate Blanchett
"	1969-5-14	Melbourne, Victoria, Australia	['Carol', 'Elizabeth', 'Blue Jasmine', 'The Aviator']	152	185	https://www.imdb.com/name/nm0000949/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000949/awards?ref_=nm_ql_2
1814	" Rachel Weisz
"	1970-3-7	Westminster, London, England, UK	['The Constant Gardener', 'The Lobster', 'The Favourite', 'The Mummy']	41	73	https://www.imdb.com/name/nm0001838/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0001838/awards?ref_=nm_ql_2
1815	" Paul Walker
(I)
(1973–2013)
"	1973-9-12	Glendale, California, USA	['The Fast and the Furious', 'Furious 7', 'Running Scared', 'Fast & Furious']	7	11	https://www.imdb.com/name/nm0908094/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0908094/awards?ref_=nm_ql_2
1816	" Ralph Ineson
"	1969-12-15	Leeds, West Yorkshire, England, UK	['The VVitch: A New-England Folktale', 'Guardians of the Galaxy', 'The Ballad of Buster Scruggs', 'Harry Potter and the Deathly Hallows: Part 2']	0	4	https://www.imdb.com/name/nm0408591/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0408591/awards?ref_=nm_ql_2
1817	" Lorenza Izzo
"	1989-9-19	Las Condes, Santiago, Región Metropolitana, Chile	['The House with a Clock in Its Walls', 'Life Itself', 'Feed the Beast', 'Sex Ed']	0	1	https://www.imdb.com/name/nm4448022/?ref_=adv_li_st_1	https://www.imdb.com/name/nm4448022/awards?ref_=nm_ql_2
1818	" Jessica Chastain
"	1977-3-24	Sacramento, California, USA	"['Zero Dark Thirty', 'The Tree of Life', 'Interstellar', ""Molly's Game""]"	79	112	https://www.imdb.com/name/nm1567113/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1567113/awards?ref_=nm_ql_2
1819	" Patrick Wilson
(I)
"	1973-7-3	Norfolk, Virginia, USA	['The Phantom of the Opera', 'Hard Candy', 'Insidious', 'Watchmen']	2	18	https://www.imdb.com/name/nm0933940/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0933940/awards?ref_=nm_ql_2
1820	" Mila Kunis
"	1983-8-14	Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]	['Black Swan', 'Bad Moms', 'Jupiter Ascending', 'Forgetting Sarah Marshall']	13	56	https://www.imdb.com/name/nm0005109/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0005109/awards?ref_=nm_ql_2
1821	" Christoph Waltz
"	1956-10-4	Vienna, Austria	['Django Unchained', 'Inglourious Basterds', 'The Zero Theorem', 'Carnage']	84	40	https://www.imdb.com/name/nm0910607/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0910607/awards?ref_=nm_ql_2
1822	" John Boyega
"	1992-3-17	Peckham, London, England, UK	['Star Wars: Episode VII - The Force Awakens', 'Attack the Block', 'Pacific Rim: Uprising', 'Star Wars: Episode VIII - The Last Jedi']	8	19	https://www.imdb.com/name/nm3915784/?ref_=adv_li_st_1	https://www.imdb.com/name/nm3915784/awards?ref_=nm_ql_2
1823	" Sylvester Stallone
"	1946-7-6	New York City, New York, USA	['Rocky', 'Rocky IV', 'Creed', 'Rocky III']	57	66	https://www.imdb.com/name/nm0000230/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
1824	" Armie Hammer
"	1986-8-28	Los Angeles, California, USA	['The Social Network', 'Call Me by Your Name', 'The Lone Ranger', 'The Man from U.N.C.L.E.']	9	38	https://www.imdb.com/name/nm2309517/?ref_=adv_li_st_1	https://www.imdb.com/name/nm2309517/awards?ref_=nm_ql_2
